00:00|midnight|When the clocks struck midnight, I was surrounded by notes on wolves and genetics but was no closer to unraveling the mystery of Matthew Clairmont's interest in Ashmole 782.|A Discovery of Witches|Deborah Harkness
00:00|midnight|By midnight, the castle was silent and dark. Doubtless a few gold cloaks on the walls spied them leaving the Tower of the Hand, but no one raised a voice. He was the Hand of the King, and where he went was his own affair.|A Clash of Kings|George R. R. Martin
00:00|midnight|As midnight was striking bronze blows upon the dusky air, Dorian Gray, dressed commonly, and with a muffler wrapped round his throat, crept quietly out of his house.|The Picture of Dorian Gray |Oscar Wilde 
00:00|midnight|"""But wait till I tell you,"" he said. We had a midnight lunch too after all the jollification and when we sallied forth it was blue o'clock the morning after the night before"""|Ulysses |James Joyce 
00:00|midnight|"""Midnight,"" you said. What is midnight to the young? And suddenly a festive blaze was flung Across five cedar trunks, snow patches showed, And a patrol car on our bumpy road Came to a crunching stop. Retake, retake!"|Pale Fire |Vladimir Nabokov 
00:00|12.00 pm|That a man who could hardly see anything more than two feet away from him could be employed as a security guard suggested to me that our job was not to secure anything but to report for work every night, fill the bulky ledger with cryptic remarks like 'Patrolled perimeter 12.00 pm, No Incident' and go to the office every fortnight for our wages and listen to the talkative Ms Elgassier.|A Squatter's Tale |Ike Oguine 
00:00|midnight|'Tis the year's midnight, and it is the day's, Lucy's, who scarce seven hours herself unmasks; The sun is spent, and now his flasks Send forth light squibs, no constant rays;|A Nocturnal upon St Lucy's Day |John Donne 
00:00|midnight|At midnight his wife and daughter might still be bustling about, preparing holiday delicacies in the kitchen, straightening up the house, or perhaps getting their kimonos ready or arranging flowers. Oki would sit in the living room and listen to the radio. As the bells rang he would look back at the departing year. He always found it a moving experience.|Beauty and Sadness |Yasunari Kawabata
00:00|twelve|Bernardo: 'Tis now struck twelve; get thee to bed, Francisco.|Hamlet |Shakespeare 
00:00|midnight|Big Ben concluded the run-up, struck and went on striking. (...) But, odder still - Big Ben had once again struck midnight. The time outside still corresponded to that registered by the stopped gilt clock, inside. Inside and outside matched exactly, but both were badly wrong. H'm.|Nights At The Circus |Angela Carter 
00:00|midnight|But in the end I understood this language. I understood it, I understood it, all wrong perhaps. That is not what matters. It told me to write the report. Does this mean I am freer now than I was? I do not know. I shall learn. Then I went back into the house and wrote, It is midnight. The rain is beating on the windows. It was not midnight. It was not raining.|Molloy |Samuel Beckett 
00:00|0000h.|Cartridges not allowed after 0000h., to encourage sleep.|Infinite Jest |David Foster Wallace 
00:00|twelve|Francisco. You come most carefully upon your hour. Bernardo. 'Tis now struck twelve. Get thee to bed, Francisco.|Hamlet |William Shakespeare 
00:00|0000h|Gately can hear the horns and raised voices and u-turn squeals way down below on Wash. That indicate it's around 0000h., the switching hour.|Infinite Jest|David Foster Wallace
00:00|twelve|Hamlet: What hour now? Horatio: I think it lacks of twelve. Marcellus: No, it is struck.|Hamlet |William Shakespeare 
00:00|midnight|He is certain he heard footsteps: they come nearer, and then die away. The ray of light beneath his door is extinguished. It is midnight; some one has turned out the gas; the last servant has gone to bed, and he must lie all night in agony with no one to bring him any help.|Swann's Way |Marcel Proust 
00:00|midnight|I am conceived to the chimes of midnight on the clock on the mantelpiece in the room across the hall. The clock once belonged to my great-grandmother (a woman called Alice) and its tired chime counts me into the world.|Behind the Scenes at the Museum |Kate Atkinson 
00:00|twelve|I took her hand in mine, and bid her be composed; for a succession of shudders convulsed her frame, and she would keep straining her gaze towards the glass. 'There's nobody here!' I insisted. 'It was YOURSELF, Mrs. Linton: you knew it a while since.' 'Myself!' she gasped, 'and the clock is striking twelve! It's true, then! that's dreadful!'|Wuthering Heights |Emily Brontë 
00:00|midnight|I was born in the city of Bombay ... On the stroke of midnight, as a matter of fact. Clock-hands joined palms in respectful greeting as I came. Oh, spell it out, spell it out: at the precise instant of India's arrival at independence, I tumbled forth into the world.|Midnight's Children |Salman Rushdie 
00:00|midnight|It is midnight. The rain is beating on the windows. I am calm. All is sleeping. Nevertheless I get up and go to my desk. I can't sleep. ...|Molloy |Samuel Beckett 
00:00|striking twelve|There's nobody here!' I insisted. 'It was YOURSELF, Mrs. Linton: you knew it a while since.'  'Myself!' she gasped, 'and the clock is striking twelve! It's true, then! that's dreadful!'|Wuthering Heights|Emily Bronté
00:00|midnight|It was nearing midnight and the Prime Minister was sitting alone in his office, reading a long memo that was slipping through his brain without leaving the slightest trace of meaning behind.|Harry Potter and The Half-Blood Prince |JK Rowling 
00:00|midnight|Midnight had come upon the crowded city. The palace, the night-cellar, the jail, the madhouse; the chambers of birth and death, of health and sickness; the rigid face of the corpse and the calm sleep of the child - midnight was upon them all.|Oliver Twist |Charles Dickens 
00:00|midnight|Midnight is approaching, and while the peak of activity has passed, the basal metabolism that maintains life continues undiminished, producing the basso continuo of the city's moan, a monotonous sound that neither rises or falls but is pregnant with foreboding.|After Dark |Murakami 
00:00|midnight|Once upon a midnight dreary, while I pondered weak and weary, Over many a quaint and curious volume of forgotten lore, While I nodded, nearly napping, suddenly there came a tapping, As of some one gently rapping, rapping at my chamber door. `'Tis some visitor,' I muttered, `tapping at my chamber door - Only this, and nothing more.'|The Raven |Edgar Allan Poe 
00:00|twelve|The clock striketh twelve O it strikes, it strikes! Now body, turn to air, Or Lucifer will bear thee quick to hell. O soul, be changed into little water drops, And fall into the ocean, ne'er to be found. My God, my God, look not so fierce on me!|Dr Faustus |Christopher Marlowe 
00:00|midnight|The first night, as soon as the corporal had conducted my uncle Toby up stairs, which was about 10 - Mrs. Wadman threw herself into her arm chair, and crossing her left knee with her right, which formed a resting-place for her elbow, she reclin'd her cheek upon the palm of her hand, and leaning forwards, ruminated until midnight upon both sides of the question.'|The Life and Opinions of Tristram Shandy, Gentleman |Laurence Sterne 
00:00|midnight|As midnight was striking bronze blows upon the dusky air, Dorian Gray, dressed commonly, and with a muffler wrapped round his throat, crept quietly out of his house.|The Picture of Dorian Gray|Oscar Wilde
